sofifa_id,sticker_id,player_name,team,position,birth_year
229585,AUS6,Miloš Degenek,Australia,DF,1994
221354,SRB7,Miloš Veljković,Serbia,DF,1995
221174,CRO20,Mislav Oršić,Croatia,FW,1992
242041,TUN6,Mohamed Dräger,Tunisia,DF,1996
220253,MAR19,Munir El Haddadi Mohamed,Morocco,GK,1989
233084,ARG6,Nahuel Molina Lucero,Argentina,DF,1998
198861,SEN15,Nampalys Mendy,Senegal,MF,1992
244749,MAR5,Nayef Aguerd,Morocco,DF,1996
205257,TUN20,Naïm Sliti,Tunisia,MF,1992
243057,WAL11,Neco Williams,Wales,DF,2001
193198,SRB9,Nemanja Gudelj,Serbia,MF,1991
239433,SRB13,Nemanja Maksimović,Serbia,MF,1995
243656,SRB15,Nemanja Radonjić,Serbia,DF,1996
221491,SUI6,Nico Elvedi,Switzerland,DF,1996
247819,DFB8,Nico Schlotterbeck,Germany,DF,1999
240699,URU13,Diego Nicolás De La Cruz Arcosa,Uruguay,MF,1997
212190,DFB10,Niklas Süle,Germany,DF,1995
238095,SRB5,Nikola Milenković,Serbia,DF,1997
241095,CRO16,Nikola Vlašić,Croatia,FW,1997
237469,CMR10,Nouhou Tolo,Cameroon,DF,1997
198950,ESP20,Pablo Sarabia García,Spain,FW,1992
228386,SEN6,Pape Abou Cissé,Senegal,DF,1995
232670,ESP13,Fernando Matías Zampedri,Spain,MF,2002
201895,POR8,Diego Santiago Fagúndez Pepe,Portugal,DF,1983
240190,CMR12,Pierre Kunde Malong,Cameroon,MF,1995
241727,SRB3,Predrag Rajković,Serbia,GK,1995
202652,ENG20,Raheem Sterling,England,FW,1994
201535,FRA10,Raphaël Varane,France,DF,1993
251599,SUI8,Ricardo Rodríguez Gil Carcedo,Switzerland,DF,1992
231943,BRA19,Richarlison de Andrade,Brazil,FW,1997
188545,POL17,Robert Lewandowski,Poland,FW,1988
231866,ESP14,Rodrigo Hernández Cascante,Spain,DF,1996
227535,ESP14,Rodrigo Bentancur Colmán,Uruguay,MF,1997
208295,MAR9,Romain Saïss,Morocco,DF,1990
192505,BEL19,Romelu Lukaku Menama,Belgium,FW,1993
244259,IRN10,Sadegh Moharrami,IR Iran,DF,1996
233241,IRN13,Saeid Ezatolahi Afagh,IR Iran,MF,1996
231949,IRN19,Saman Ghoddos,IR Iran,MF,1993
213092,CAN17,Samuel Piette,Canada,MF,1994
236699,SRB12,Saša Lukić,Serbia,MF,1996
235973,POL15,Sebastian Szymański,Poland,MF,1999
229010,MAR10,Selim Amallah,Morocco,MF,1996
223848,SRB14,Sergej Milinković-Savić,Serbia,MF,1995
