player_name,sticker,team,code_prefix,code_number,source_line
Eiji Kawashima,JPN4,Japan,JPN,4,JPN4 Eiji Kawashima - Japan
Yuto Nagatomo,JPN5,Japan,JPN,5,JPN5 Yuto Nagatomo - Japan
Yuta Nakayama,JPN6,Japan,JPN,6,JPN6 Yuta Nakayama - Japan
Takehiro Tomiyasu,JPN7,Japan,JPN,7,JPN7 Takehiro Tomiyasu - Japan
Miki Yamane,JPN8,Japan,JPN,8,JPN8 Miki Yamane - Japan
Maya Yoshida,JPN9,Japan,JPN,9,JPN9 Maya Yoshida - Japan
Wataru Endo,JPN10,Japan,JPN,10,JPN10 Wataru Endo - Japan
Genki Haraguchi,JPN11,Japan,JPN,11,JPN11 Genki Haraguchi - Japan
Hidemasa Morita,JPN12,Japan,JPN,12,JPN12 Hidemasa Morita - Japan
Gaku Shibasaki,JPN13,Japan,JPN,13,JPN13 Gaku Shibasaki - Japan
Ao Tanaka,JPN14,Japan,JPN,14,JPN14 Ao Tanaka - Japan
Takuma Asano,JPN15,Japan,JPN,15,JPN15 Takuma Asano - Japan
Kyogo Furuhashi,JPN16,Japan,JPN,16,JPN16 Kyogo Furuhashi - Japan
Junya Ito,JPN17,Japan,JPN,17,JPN17 Junya Ito - Japan
Takumi Minamino,JPN18,Japan,JPN,18,JPN18 Takumi Minamino - Japan
Kaoru Mitoma,JPN19,Japan,JPN,19,JPN19 Kaoru Mitoma - Japan
Yuya Osako,JPN20,Japan,JPN,20,JPN20 Yuya Osako - Japan
Seung-gyu Kim,KOR3,South Korea,KOR,3,KOR3 Seung-gyu Kim - South Korea
Hyeon-woo Jo,KOR4,South Korea,KOR,4,KOR4 Hyeon-woo Jo - South Korea
Chul Hong,KOR5,South Korea,KOR,5,KOR5 Chul Hong - South Korea
Tae-hwan Kim,KOR6,South Korea,KOR,6,KOR6 Tae-hwan Kim - South Korea
Min-jae Kim,KOR7,South Korea,KOR,7,KOR7 Min-jae Kim - South Korea
Young-gwon Kim,KOR8,South Korea,KOR,8,KOR8 Young-gwon Kim - South Korea
Jin-su Kim,KOR9,South Korea,KOR,9,KOR9 Jin-su Kim - South Korea
Yong Lee,KOR10,South Korea,KOR,10,KOR10 Yong Lee - South Korea
In-beom Hwang,KOR11,South Korea,KOR,11,KOR11 In-beom Hwang - South Korea
Woo-young Jung,KOR12,South Korea,KOR,12,KOR12 Woo-young Jung - South Korea
Jae-sung Lee,KOR13,South Korea,KOR,13,KOR13 Jae-sung Lee - South Korea
Seung-ho Paik,KOR14,South Korea,KOR,14,KOR14 Seung-ho Paik - South Korea
Gue-sung Cho,KOR15,South Korea,KOR,15,KOR15 Gue-sung Cho - South Korea
Hee-chan Hwang,KOR16,South Korea,KOR,16,KOR16 Hee-chan Hwang - South Korea
Ui-jo Hwang,KOR17,South Korea,KOR,17,KOR17 Ui-jo Hwang - South Korea
Chang-hoon Kwon,KOR18,South Korea,KOR,18,KOR18 Chang-hoon Kwon - South Korea
Heung-min Son,KOR19,South Korea,KOR,19,KOR19 Heung-min Son - South Korea
Min-kyu Song,KOR20,South Korea,KOR,20,KOR20 Min-kyu Song - South Korea
Mohammed Al-Owais,KSA3,Saudi Arabia,KSA,3,KSA3 KSA3 Mohammed Al-Owais - Saudi Arabia
Mohammed Al-Rubaie,KSA4,Saudi Arabia,KSA,4,KSA4 KSA4 Mohammed Al-Rubaie - Saudi Arabia
Abdulelah Al-Amri,KSA5,Saudi Arabia,KSA,5,KSA5 KSA5 Abdulelah Al-Amri - Saudi Arabia
Ali Al-Boleahi,KSA6,Saudi Arabia,KSA,6,KSA6 KSA6 Ali Al-Boleahi - Saudi Arabia
Mohammed Al-Burayk,KSA7,Saudi Arabia,KSA,7,KSA7 KSA7 Mohammed Al-Burayk - Saudi Arabia
Sultan Al-Ghannam,KSA8,Saudi Arabia,KSA,8,KSA8 KSA8 Sultan Al-Ghannam - Saudi Arabia
Yasser Al-Shahrani,KSA9,Saudi Arabia,KSA,9,KSA9 KSA9 Yasser Al-Shahrani - Saudi Arabia
Hassan Al-Tambakti,KSA10,Saudi Arabia,KSA,10,KSA10 KSA10 Hassan Al-Tambakti - Saudi Arabia
